nt-337	Carlton Wood
nt-338	9
nt-339	brian carney
nt-340	three
nt-341	3
nt-342	samantha smith
nt-343	asian championships
nt-345	sir john a. macdonald
nt-346	12
nt-347	0
nt-351	less
nt-352	perfect fifth, septendecimal tritone, septimal tritone, tridecimal tritone, 11th harmonic, (15:11) augmented fourth
nt-354	less
nt-356	2
nt-357	4
nt-358	pétur sigurgeirsson
nt-359	three
nt-360	2
nt-361	Runner-up
nt-362	nigeria lng
nt-363	silvia sperber
nt-365	thomas b. hart
nt-366	abc
nt-368	2006
nt-369	France
nt-370	1986
nt-371	22 october 1976
nt-372	august 7
nt-374	2
nt-375	that girl
nt-376	one
nt-377	three
nt-379	showdance
nt-381	Robson Green & Jerome Flynn
nt-382	boxing
nt-383	793
nt-384	motherwell
nt-385	no
nt-386	paula jean myers-pope
nt-387	timber
nt-388	1
nt-389	over cooked
nt-390	1880-1942
nt-391	i
nt-393	january
nt-394	7
nt-396	valencia cc and chipola
nt-398	row34 : Trafigura | 8,773
nt-399	providence college
nt-400	30
nt-401	4–6
nt-402	mobile phones
nt-404	no
nt-405	m 5
nt-406	2005
nt-407	
nt-408	2
nt-409	porsche
nt-410	AnimeExpo with 1750 attendance in its first held year.
nt-413	stanford
nt-415	orange county has a difference of 15,695 votes between Kerry and Bush.
nt-418	13
nt-419	cat amongst the pigeons
nt-420	say something
nt-422	good rain
nt-424	iceland
nt-425	3
nt-426	3
nt-427	
nt-429	rodriguez
nt-430	3
nt-431	2
nt-434	4
nt-435	liverpool
nt-436	2003
nt-437	nuova pallacanestro pavia, scafati basket, pallac. reggiana reggio emilia
nt-438	4
nt-440	22
nt-441	11
nt-442	10
nt-443	miyazaki maglev test track
nt-444	11
nt-445	1972
nt-446	13
nt-448	music and lyrics, dan in real life, i think i love my wife
nt-449	5
nt-451	davey richards
nt-452	3:40
nt-453	4
nt-454	11
nt-455	see you later (do svidaniya)
nt-456	arzew gl4z
nt-459	3
nt-460	40,000
nt-461	9356
nt-462	1976
nt-463	1066
nt-464	russia
nt-465	1
nt-466	waitakere united, waitakere city, fred taylor park, 2500
nt-467	huelva
nt-468	bolettes brudefaerd
nt-471	6
nt-472	none
nt-474	nigel mansell
nt-475	50 cent: bulletproof
nt-476	there are no mentioning of baltimore colts or playoff bowl era in the table.
nt-477	gordon dahlgren, ray johnson
nt-478	"rebecca ""becky"" marrero was missing for 28 years (december 3, 1982 - december 21, 2010)"
nt-479	2
nt-480	cylinder
nt-481	1
nt-482	21 february 2010
nt-483	3.5
nt-484	michel deuzet
nt-485	romney
nt-486	10097
nt-487	9727
nt-489	Henry Ellenbogen with 2.1%
nt-490	30
nt-492	3
nt-494	2
nt-495	son of niah
nt-496	usss lawrence (dd-8)
nt-497	14.512
nt-498	two
nt-499	According to the table, in Butler County, Obama got 5,316 votes and McCain got 11,805 votes. Therefore, McCain got more votes than Obama in Butler County.
nt-501	6
nt-502	27
nt-503	china
nt-504	19
nt-505	gkn aquatrack
nt-507	september 2007, february 6, 2009
nt-508	jones stadium
nt-509	ford focus rs wrc 07
nt-510	#2
nt-511	ufc 81
nt-513	4
nt-515	0
nt-519	lee young-sun
nt-520	34
nt-521	1
nt-522	august 15, 2009
nt-523	no
nt-525	June 1966 tornado outbreak sequence | June 8–9, 1966 | Kansas – Illinois | 57 | 18 fatalities | Outbreak sequence produced a series of tornadoes across the Great Plains states. An F5 devastated downtown Topeka, Kansas, killing 16 people and disproving myths about the city's being protected. A large F3 also hit Manhattan, Kansas.
nt-526	0
nt-527	akakios kakiasvilis
nt-528	loss to guto inocente and loss to lavar johnson
nt-529	4
nt-530	justin allgaier
nt-533	3
nt-536	5
nt-537	8
nt-538	redlegs
nt-539	3
nt-540	552
nt-541	9.341
nt-543	socialist group, rpr group, udf group
nt-544	2
nt-545	little caney
nt-546	5
nt-547	
nt-548	slalom
nt-549	2
nt-550	miley cyrus
nt-551	two
nt-552	2
nt-553	4 march 2008
nt-554	act premlis lithium ion capacitor
nt-555	2
nt-556	
nt-557	3
nt-558	77.50
nt-559	you & me
nt-561	1021
nt-562	hateley score 6 goals.
nt-563	week7
nt-564	1998
nt-565	0
nt-566	"1/10"""
nt-568	jaques faucher
nt-569	2
nt-570	17 years
nt-571	ögi nuur
nt-572	Rod Kerr (Morwell)
nt-573	fran meen
nt-575	gostaresh foolad
nt-576	maggie roswell
nt-577	11 years
nt-578	2008
nt-580	costa rica
nt-581	row44: 1,582
nt-583	double platinum
nt-584	
nt-585	david campbell mulford
nt-586	medline
nt-587	11
nt-588	mont blanc
nt-589	155
nt-590	b. 1966 | English | British model, pop musician | L
nt-591	12
nt-592	argentina
nt-594	meno
nt-595	grass
nt-596	5
nt-597	2
nt-598	3
nt-599	12
nt-600	2
nt-602	andy hines
nt-603	usa-1
nt-604	real unión
nt-605	conservative
nt-606	5
nt-607	6
nt-608	antil plains aerodrome
nt-609	6
nt-610	kitty wells' golden favorites
nt-611	71,496
nt-612	england
nt-613	2003
nt-616	there is no cosmos mission mentioned before cosmos 300 in the table.
nt-617	3 – 2
nt-618	
nt-619	2
nt-621	none
nt-622	7
nt-623	bbox bouygues telecom
nt-625	4:27
nt-626	durdevo
nt-627	windsor
nt-628	2
nt-629	4.1
nt-630	1
nt-631	
nt-632	2
nt-633	lau siu-leung
nt-636	200 mi (320 km)
nt-637	12
nt-639	ben mcdonald
nt-641	revengers tragedy
nt-642	mount mercy university and viterbo university
nt-643	
nt-644	1986, 1989
nt-646	spokane
nt-648	dobupal
nt-649	7000
nt-650	Dario Cologna
nt-653	4
nt-654	top 17
nt-656	16
nt-658	jupiler league
nt-659	6
nt-660	2
nt-661	2
nt-662	fay crocker
nt-663	teen choice awards
nt-664	gerald geis
nt-665	24 october 2007
nt-666	24272
nt-669	mark 1
nt-671	3
nt-672	kimi räikkönen, fernando alonso, jenson button
nt-674	pune strykers
nt-675	black hawk down
nt-676	cF8
nt-677	4
nt-678	no
nt-679	4
nt-681	2
nt-682	"2014 (row145) - Afra Tafri -  has no ""role"" listed."
nt-684	willie nelson
nt-685	31
nt-686	2
nt-687	two
nt-688	jerez
nt-689	9,772
nt-691	2
nt-693	522
nt-695	rubberneck
nt-696	1
nt-698	brazil
nt-699	2
nt-700	1999
nt-701	mistadobalina
nt-702	three
nt-703	eta alpha
nt-704	2
nt-705	1
nt-706	
nt-707	mark blutman & howard busgang
nt-709	6-0, 6-0
nt-710	saturday, april 20
nt-712	124867
nt-714	i say my body
nt-715	the twelfth
nt-716	
nt-717	moanalua middle school
nt-718	ingebjarne storebø
nt-719	f5
nt-720	4
nt-722	
nt-723	4.90 m
nt-724	blair sturrock
nt-726	4
nt-728	azeta racing
nt-729	8
nt-731	The answer is Nenjirukkum varai (1967).
nt-733	2
nt-734	cmc cruiser, delta mini cruiser
nt-735	
nt-736	three
nt-737	jacksonville jaguars
nt-738	"""nelson the naughty arsonist"""
nt-739	antónio borges, miguel sottomayor
nt-740	peugeot 207 s2000
nt-741	monika bejnar
nt-742	IFK Göteborg
nt-743	chang shou zhen
nt-744	7
nt-746	lucien favre
nt-747	there is no year where an american won both the men's and women's individual.
nt-749	stansly maponga
nt-750	276
nt-751	2
nt-752	texas
nt-753	Less, because the Ae 8/8 weighs 160 t and the Re 6/6 weighs 120 t.
nt-754	11
nt-755	craig stadler
nt-757	4
nt-758	no
nt-759	grandma's marathon
nt-760	forward
nt-763	3
nt-764	3
nt-765	japan
nt-766	19 years
nt-767	rui conceição
nt-768	cockatrice
nt-770	School 73
nt-772	none
nt-773	aprilia
nt-774	11
nt-775	0.4%
nt-776	montreal canadiens
nt-777	18
nt-778	russia
nt-779	0
nt-780	5
nt-781	ks skenderbeu korce
nt-782	8
nt-783	volume 5
nt-784	1:20:34
nt-785	18 years
nt-786	lochee united
nt-787	0
nt-788	6
nt-789	paul moriarty
nt-791	fs1
nt-792	3
nt-794	4
nt-795	2
nt-797	haugesund
nt-798	le colonel
nt-799	bulgaria and spain
nt-800	20 july 2011
nt-801	56656
nt-802	7
nt-803	good deeds and dirty rags
nt-804	canada
nt-806	2006 FIBA World Championship
nt-807	
nt-808	hungary
nt-809	challenge
nt-810	63
nt-811	1
nt-812	nesccap electric double-layer capacitor
nt-813	17
nt-814	weymouth
nt-816	6
nt-817	2
nt-819	valley of the moon bridge was the last bridge built.
nt-820	
nt-821	6
nt-822	trinidad and tobago, jamaica, cuba, martinique, haiti
nt-824	4
nt-827	1981
nt-828	antwerp, east flanders, west flanders
nt-829	charles himrod
nt-831	germany east germany
nt-833	otho venius
nt-834	john william mccormack
nt-835	13
nt-838	ultimo gladiador and ultimo vampiro
nt-839	119
nt-840	rustenburg, south africa
nt-841	kyal and kara
nt-843	trisha
nt-845	
nt-847	2006
nt-848	mystique
nt-849	5
nt-850	china
nt-851	
nt-852	7
nt-853	12
nt-854	37
nt-855	chateau de brissac
nt-857	0-0, 0-1 = 0-1
nt-859	2
nt-860	11
nt-861	scottish national party
nt-862	four
nt-863	conservatives
nt-864	3
nt-865	george w. bush
nt-866	tom slater
nt-867	9
nt-868	edward c. eicher
nt-869	3
nt-870	47
nt-871	5
nt-873	7
nt-874	7
nt-875	135
nt-877	7
nt-878	2011-12
nt-879	john mack
nt-882	4
nt-883	24
nt-884	variety show
nt-885	three
nt-887	1887
nt-888	werder bremen
nt-889	distributor ep
nt-890	4:19.84
nt-891	2
nt-893	3
nt-894	Chaves
nt-895	south africa
nt-896	17
nt-897	big throwback
nt-898	1977
nt-900	22
nt-901	september 21, 2011, to january 25, 2012
nt-902	1996/97
nt-903	selite
nt-904	27
nt-905	italy did not receive any silver medals. spain received 2.
nt-906	new model pocket revolver
nt-907	1
nt-909	
nt-910	edson fortes
nt-911	31,634
nt-914	3
nt-915	lord finesse
nt-916	ah sa
nt-917	$6,800,000
nt-918	2
nt-920	bobby wadkins
nt-921	38 - 15 = 23
nt-922	8
nt-923	adamson pep squad, ateneo blue babble batallion, pup-stars, pup-taguig pep squad
nt-925	1.3
nt-926	1943
nt-927	5
nt-928	big bang
nt-929	3
nt-930	1up.com
nt-931	leah poulos
nt-932	8
nt-933	1
nt-934	16
nt-935	2
nt-936	3
nt-938	north county complex
nt-940	8
nt-942	row20 : 060-EA | Romanian Railways(CFR) | 001-1000 | Electroputere Craiova | 1970-91 | Electric | Co'Co' | 120 t | 6,839 horsepower (5,100 kW)
nt-943	"""mister love"""
nt-945	3
nt-946	2
nt-947	5
nt-948	3.75
nt-949	4
nt-950	charles frederick
nt-952	less
nt-953	russia
nt-954	4
nt-955	2
nt-958	5
nt-959	"""kim wilde"""
nt-960	cm
nt-961	systems and software engineering – software life cycle processes
nt-964	2
nt-965	february 13, 2011
nt-966	22
nt-967	13
nt-968	cd
nt-969	gutsy frog
nt-970	italy, united states
nt-971	2
nt-972	5
nt-973	jain
nt-974	34
nt-975	110 010 011 00100 00101
nt-976	1980
nt-977	3
nt-978	ma5 ning4 yi4
nt-979	20th
nt-980	kamaal dhamaal malamaal
nt-981	
nt-982	1
nt-983	4510
nt-984	5
nt-987	peter hirt
nt-989	charles frederick
nt-990	0.72
nt-991	gostaresh foolad
nt-992	germany, united states, canada
nt-993	south africa
nt-995	jóhann haraldsson
nt-996	3
nt-997	luke summerfield
nt-998	jean-philippe ruggia
nt-999	thomas g. abernethy federal building
nt-1000	benyon
nt-1001	2
nt-1002	4
nt-1003	3
nt-1005	louis delmas
nt-1006	east flanders
nt-1008	new basket brindisi
nt-1009	langlang princess
nt-1011	if it means losing you
nt-1012	sabell fc 1
nt-1016	142
nt-1018	dj ogee/o.gee
nt-1019	1969, 1989
nt-1021	bc place
nt-1022	
nt-1023	13th
nt-1024	10
nt-1025	zach johnson
nt-1026	walayar
nt-1027	3
nt-1030	3
nt-1031	10
nt-1032	"""hurt"""
nt-1033	zoo story
nt-1034	pando
nt-1035	20
nt-1038	25,854, 13,261, 13,138, and 13,626
nt-1039	aparna popat
nt-1041	6
nt-1043	5
nt-1044	5
nt-1045	soviets
nt-1046	1969
nt-1047	George Yule
nt-1048	Love is a Many Stupid Thing
nt-1049	Speaker John Boehner.
nt-1050	5
nt-1051	4
nt-1054	18
nt-1056	peter hirt
nt-1057	7
nt-1059	dilasha gc
nt-1060	2
nt-1061	1972
nt-1062	maccabi tel aviv
nt-1063	remain
nt-1064	Andre Blake (2012)
nt-1065	38
nt-1067	yes
nt-1068	2
nt-1069	2
nt-1070	shenzhen
nt-1071	row1 : Tibbee Bridge | 1896
nt-1072	6
nt-1073	5
nt-1074	2
nt-1076	0:19
nt-1079	at90s1200
nt-1080	6
nt-1081	52.17
nt-1083	1
nt-1084	görizia
nt-1087	8
nt-1088	prevencor
nt-1089	#25 Ole Miss
nt-1090	otsuka pharmaceuticals
nt-1091	grande fratello 7
nt-1092	0
